Age,Ethnicity,Gender,Sexual Orientation,Profession,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q24,Q25,Q26,Q27,Q28,Q75,Q76,Q77,Q78,Q79,Q81,Q82,Q83,Q84,Q85,Q86,Q52,Q53,Q54,Q55,Q56,Q95,Q96,Q97,Q98,Q99,Q101,Q103,Q104,Q105,Q106,Q100,type_transgression
2,1,2,1,1,2,4,4,5,5,3,1,5,4,2,2,4,2,1,5,5,1,1,,,,,,,,,,,,,,,,,5,3,5,1,2,5,3,5,1,2,8,6,8,4,6,"I like her music and the experiences it conveys, but I don’t necessarily care much about her as a person, positive or negative, since she’s just a distant figure - in this sense, if she does immoral things, it certainly doesn’t have a bearing on my enjoyment of her music but also doesn’t have much of a bearing on my perception of her since I have no particular investment in perceiving her a certain way ",0
2,5,2,3,1,4,4,5,5,5,4,2,4,2,3,5,4,5,1,5,2,5,4,,,,,,,,,,,,,,,,,3,2,4,1,1,4,1,4,1,1,8,7,8,6,4,1. Seperate the art from the artist 2.don’t waste your energy defending billionaire celebrities who don’t know you,0
2,1,2,1,1,5,4,4,5,5,4,4,4,4,5,5,4,4,1,3,4,5,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,"She is not responsible for capitalism. It's easy to blame one very visible person, but the entire system we have built is so much more complex and relies on CO2, etc. to survive. Yes, emissions are bad but the benefits that come from her travels for concerts are huge and lift the economies of any city hosting her",,,,,,,,,,,,,,,,,1
2,1,2,3,1,5,5,4,5,5,4,3,4,4,5,5,5,5,1,4,5,5,2,,,,,,,,,,,,,,,,,4,3,4,1,2,3,3,4,1,2,8,8,8,7,8,Cheating is so different to being a biggot. It hurts one not systemically thousands to millions to billions ,0
2,1,2,1,1,4,3,4,5,4,2,1,2,3,5,5,1,1,1,1,4,2,1,5,1,1,2,2,5,1,1,1,2,5,1,1,1,2,"I would keep listening to her music, because I like it, but I wouldn’t have anything else to do with her. I would also want to hear why she is doing those things ",,,,,,,,,,,,,,,,,1
2,1,2,1,1,5,4,5,5,4,4,3,2,4,5,5,4,4,1,4,5,4,4,4,2,4,2,4,4,1,4,1,3,4,1,3,2,3,,,,,,,,,,,,,,,,,,1
2,1,2,3,1,5,5,4,4,2,4,4,3,3,3,5,4,4,3,2,4,4,3,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,2,1,7,7,7,5,6,,0
2,1,1,5,1,5,4,4,5,3,4,2,5,3,2,5,5,5,5,5,4,4,1,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,"Why should her political views/personal life effect the way I listen to her music. If she express certain views on trans rights/cheats on her partner, that shouldn't affect my views on her music. Unless she did something very illegal/morally wrong I wouldn't boycott her.",0
2,4,2,3,1,5,5,4,5,5,5,4,5,3,5,5,5,5,5,5,4,5,5,5,5,5,2,5,4,4,5,4,5,5,2,5,1,5,"I know things are different for someone as famous as Taylor such as safe ways for her to travel. A situation of death of a fan happened recently however Taylor is not to blame, even if she did continue with the show",,,,,,,,,,,,,,,,,1
2,4,2,1,1,4,5,4,5,5,4,2,5,2,2,5,4,5,2,5,4,5,4,,,,,,,,,,,,,,,,,2,2,2,2,4,3,2,2,2,4,7,7,7,5,7,,0
2,4,2,1,2,3,4,2,5,4,1,1,1,1,5,4,1,2,1,1,2,3,1,,,,,,,,,,,,,,,,,2,1,1,1,1,4,1,1,1,1,8,8,8,8,8,,0
2,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1
3,4,2,3,2,2,2,2,3,4,1,1,4,3,5,3,3,4,1,1,1,5,2,3,1,3,1,4,3,1,4,1,4,3,1,3,1,4,Price doesn’t affect my support or decisions,,,,,,,,,,,,,,,,,1
2,4,2,1,1,4,5,4,5,4,4,1,4,4,5,5,5,5,2,5,5,5,5,,,,,,,,,,,,,,,,,3,3,4,4,4,2,2,2,2,3,5,5,5,5,7,"I think sometimes it’s crucial to separate the art from the artist. While I may disagree with her decisions, that still doesn’t take away how her music has positively impacted my life. ",0
2,1,2,1,1,3,2,4,3,4,1,1,1,2,5,4,1,1,1,1,4,1,1,,,,,,,,,,,,,,,,,4,5,4,1,3,4,1,1,1,3,7,4,4,4,6,I don’t follow her not buy merch so if anything controversial happened I’d still listen to the songs because they entertain me not because I actively want to support her but I still wouldn’t buy merch or follow her. Maybe I’d just look up the scandal to know all about the drama but that’s it really.,0
2,4,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,3,2,1,1,1,3,2,1,1,1,3,im not a taylor swift diehard fan,,,,,,,,,,,,,,,,,1
2,4,2,1,2,4,4,4,5,4,4,2,4,4,5,5,4,4,2,2,2,4,1,2,1,3,2,4,2,2,2,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,1
2,5,2,1,1,2,4,3,4,4,2,2,2,2,3,4,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,4,3,3,3,3,5,3,3,3,3,7,7,7,7,7,She is a celebrity whose personal life isn’t my business. My interest is good music ,0
2,4,2,1,1,5,5,5,5,4,4,4,5,4,2,5,5,5,4,5,5,5,2,5,4,5,4,5,4,3,4,3,4,5,5,5,5,5,,,,,,,,,,,,,,,,,,1
2,4,1,1,1,1,1,1,5,4,1,1,1,1,3,3,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,4,1,5,1,5,5,5,5,3,5,8,8,8,6,8,Music is music. Politics is politics. ,0
2,4,2,3,5,4,4,4,5,2,5,3,3,3,2,5,5,3,1,1,1,3,1,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,2,2,2,4,4,4,4,4,If her behaviour goes against my moral values then I would most likely stop supporting Taylor Swift,0
